feature_vector,label,explanation
"[-1.02, -0.13, -1.23, -1.32]",0,"[('L', 4, -0.7)]"
"[-1.51, 0.33, -1.34, -1.32]",0,"[('L', 4, -0.7)]"
"[0.67, 0.33, 0.88, 1.45]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[0.31, -0.13, 0.48, 0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.9, 1.71, -1.06, -1.05]",0,"[('L', 4, -0.7)]"
"[-0.29, -0.59, 0.65, 1.05]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('L', 2, 0.1)]"
"[-0.42, -1.51, -0.03, -0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.05, -1.05, 0.14, 0.0]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.17, -1.05, -0.15, -0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[1.52, -0.13, 1.22, 1.19]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.78, 2.4, -1.28, -1.45]",0,"[('L', 4, -0.7)]"
"[-1.39, 0.33, -1.4, -1.32]",0,"[('L', 4, -0.7)]"
"[0.67, -0.82, 0.88, 0.92]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.29, -0.36, -0.09, 0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[1.64, -0.13, 1.16, 0.53]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('L', 4, 0.6), ('R', 3, 1.0)]"
"[0.19, -0.36, 0.42, 0.4]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.54, 1.94, -1.4, -1.05]",0,"[('L', 4, -0.7)]"
"[-1.14, -1.28, 0.42, 0.66]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('L', 2, 0.1)]"
"[-0.05, 2.17, -1.45, -1.32]",0,"[('L', 4, -0.7)]"
"[-1.26, -0.13, -1.34, -1.18]",0,"[('L', 4, -0.7)]"
"[0.07, -0.13, 0.76, 0.79]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[1.04, 0.56, 1.1, 1.71]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[0.8, -0.13, 0.99, 0.79]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[2.13, -0.13, 1.62, 1.19]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[0.67, 0.33, 0.42, 0.4]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-1.02, 1.25, -1.34, -1.32]",0,"[('L', 4, -0.7)]"
"[1.28, 0.1, 0.76, 1.45]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[0.19, -1.97, 0.71, 0.4]",2,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.17, 1.71, -1.17, -1.18]",0,"[('L', 4, -0.7)]"
"[-0.54, 0.79, -1.17, -1.32]",0,"[('L', 4, -0.7)]"
"[-0.9, 1.48, -1.28, -1.05]",0,"[('L', 4, -0.7)]"
"[-0.17, -0.13, 0.25, 0.0]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[0.19, 0.79, 0.42, 0.53]",1,"[('R', 4, -0.7), ('R', 4, 0.5), ('L', 4, 0.6), ('L', 3, 1.0)]"
"[-0.42, -1.74, 0.14, 0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.42, -1.28, 0.14, 0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-1.14, 0.1, -1.28, -1.32]",0,"[('L', 4, -0.7)]"
"[0.55, -0.82, 0.65, 0.79]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('L', 2, 0.1)]"
"[0.55, -1.74, 0.36, 0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-1.02, 0.33, -1.45, -1.32]",0,"[('L', 4, -0.7)]"
"[1.64, 1.25, 1.33, 1.71]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[1.64, 0.33, 1.27, 0.79]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-1.14, 0.1, -1.28, -1.45]",0,"[('L', 4, -0.7)]"
"[1.4, 0.33, 0.54, 0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.9, 1.71, -1.23, -1.32]",0,"[('L', 4, -0.7)]"
"[-1.63, -1.74, -1.4, -1.18]",0,"[('L', 4, -0.7)]"
"[0.19, -1.97, 0.14, -0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.17, -0.36, 0.25, 0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.42, 1.02, -1.4, -1.32]",0,"[('L', 4, -0.7)]"
"[0.19, -0.82, 0.76, 0.53]",1,"[('R', 4, -0.7), ('R', 4, 0.5), ('L', 4, 0.6), ('L', 3, 1.0)]"
"[0.8, -0.59, 0.48, 0.4]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[2.49, 1.71, 1.5, 1.05]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[0.31, -0.36, 0.54, 0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.05, -0.82, 0.76, 0.92]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-1.75, 0.33, -1.4, -1.32]",0,"[('L', 4, -0.7)]"
"[-0.54, -0.13, 0.42, 0.4]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[2.25, -0.13, 1.33, 1.45]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[1.89, -0.59, 1.33, 0.92]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-1.75, -0.13, -1.4, -1.32]",0,"[('L', 4, -0.7)]"
"[0.55, -0.36, 1.05, 0.79]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-1.39, 0.33, -1.23, -1.32]",0,"[('L', 4, -0.7)]"
"[-0.9, 1.71, -1.28, -1.18]",0,"[('L', 4, -0.7)]"
"[-1.02, 1.02, -1.4, -1.18]",0,"[('L', 4, -0.7)]"
"[-1.51, 1.25, -1.57, -1.32]",0,"[('L', 4, -0.7)]"
"[-0.9, 0.56, -1.17, -0.92]",0,"[('L', 4, -0.7)]"
"[-1.51, 0.79, -1.34, -1.18]",0,"[('L', 4, -0.7)]"
"[-1.14, -0.13, -1.34, -1.32]",0,"[('L', 4, -0.7)]"
"[1.04, -0.13, 0.82, 1.45]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-1.26, 0.1, -1.23, -1.32]",0,"[('L', 4, -0.7)]"
"[1.16, -0.59, 0.59, 0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-1.14, -1.51, -0.26, -0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.78, 1.02, -1.28, -1.32]",0,"[('L', 4, -0.7)]"
"[0.8, 0.33, 0.76, 1.05]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.54, 0.79, -1.28, -1.05]",0,"[('L', 4, -0.7)]"
"[-1.02, 1.02, -1.23, -0.79]",0,"[('L', 4, -0.7)]"
"[0.19, -0.13, 0.59, 0.79]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('L', 2, 0.1)]"
"[-0.17, 3.09, -1.28, -1.05]",0,"[('L', 4, -0.7)]"
"[-1.02, -1.74, -0.26, -0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[1.16, 0.33, 1.22, 1.45]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[0.92, -0.13, 0.36, 0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-1.26, 0.79, -1.06, -1.32]",0,"[('L', 4, -0.7)]"
"[-1.87, -0.13, -1.51, -1.45]",0,"[('L', 4, -0.7)]"
"[-1.02, 0.79, -1.28, -1.32]",0,"[('L', 4, -0.7)]"
"[0.55, 0.56, 0.54, 0.53]",1,"[('R', 4, -0.7), ('R', 4, 0.5), ('L', 4, 0.6), ('L', 3, 1.0)]"
"[-0.54, 1.94, -1.17, -1.05]",0,"[('L', 4, -0.7)]"
"[0.31, -0.59, 0.14, 0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[0.8, -0.13, 0.82, 1.05]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.9, 1.02, -1.34, -1.32]",0,"[('L', 4, -0.7)]"
"[0.55, 0.79, 1.05, 1.58]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-1.02, 0.79, -1.23, -1.05]",0,"[('L', 4, -0.7)]"
"[1.04, 0.1, 1.05, 1.58]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.29, -0.82, 0.25, 0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-1.26, 0.79, -1.23, -1.32]",0,"[('L', 4, -0.7)]"
"[1.16, -0.13, 0.99, 1.19]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.78, 0.79, -1.34, -1.32]",0,"[('L', 4, -0.7)]"
"[-0.05, -0.82, 0.19, -0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.9, 0.79, -1.28, -1.32]",0,"[('L', 4, -0.7)]"
"[2.25, -1.05, 1.79, 1.45]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.29, -0.13, 0.42, 0.4]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.66, 1.48, -1.28, -1.32]",0,"[('L', 4, -0.7)]"
"[-1.02, 0.56, -1.34, -1.32]",0,"[('L', 4, -0.7)]"
"[1.77, -0.36, 1.44, 0.79]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.05, -0.59, 0.76, 1.58]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[0.43, 0.79, 0.93, 1.45]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[1.28, 0.1, 0.65, 0.4]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[0.8, -0.13, 1.16, 1.32]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[1.04, -0.13, 0.71, 0.66]",1,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.05, -0.82, 0.08, 0.0]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[0.67, 0.1, 0.99, 0.79]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[1.28, 0.1, 0.93, 1.19]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.29, -0.13, 0.19, 0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-1.26, -0.13, -1.34, -1.45]",0,"[('L', 4, -0.7)]"
"[-1.14, 1.25, -1.34, -1.45]",0,"[('L', 4, -0.7)]"
"[-0.17, -1.28, 0.71, 1.05]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[0.67, -0.59, 1.05, 1.32]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[0.31, -0.59, 0.54, 0.0]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[1.04, 0.1, 0.36, 0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[0.43, -0.36, 0.31, 0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.42, -1.51, 0.02, -0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-1.02, -2.43, -0.15, -0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.9, 1.02, -1.34, -1.18]",0,"[('L', 4, -0.7)]"
"[1.04, -1.28, 1.16, 0.79]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[1.28, 0.33, 1.1, 1.45]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[0.67, -0.36, 0.31, 0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.42, -1.05, 0.36, 0.0]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[0.55, -1.28, 0.71, 0.92]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.29, -1.28, 0.08, -0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.78, -0.82, 0.08, 0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[1.04, 0.1, 0.54, 0.4]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[2.25, -0.59, 1.67, 1.05]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-1.51, 0.1, -1.28, -1.32]",0,"[('L', 4, -0.7)]"
"[0.55, -1.28, 0.65, 0.4]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[0.31, -0.13, 0.65, 0.79]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('L', 2, 0.1)]"
"[0.55, -0.59, 0.76, 0.4]",2,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.17, -0.59, 0.19, 0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[0.43, -1.97, 0.42, 0.4]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[0.55, 0.56, 1.27, 1.71]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.9, -1.28, -0.43, -0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[0.31, -1.05, 1.05, 0.26]",2,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.05, -0.82, 0.76, 0.92]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[2.25, 1.71, 1.67, 1.32]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.54, 1.48, -1.28, -1.32]",0,"[('L', 4, -0.7)]"
"[-1.75, -0.36, -1.34, -1.32]",0,"[('L', 4, -0.7)]"
"[1.04, 0.56, 1.1, 1.19]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.17, -0.59, 0.42, 0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[0.43, -0.59, 0.59, 0.79]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('L', 2, 0.1)]"
"[0.07, -0.13, 0.25, 0.4]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[0.92, -0.36, 0.48, 0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[0.67, -0.59, 1.05, 1.19]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[0.07, 0.33, 0.59, 0.79]",1,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('R', 2, 0.1)]"
"[-0.42, 2.63, -1.34, -1.32]",0,"[('L', 4, -0.7)]"
